# Wavelength (nm)	Intensity
199.27356	0.0
199.28722	0.0
199.30089	0.0
199.31454	0.0
199.32822	0.0
199.34189	0.0
199.35555	0.0
199.36922	0.0
199.38289	0.0
199.39656	0.0
199.41022	0.0
199.42389	0.0
199.43756	0.0
199.45123	0.0
199.4649	0.0
199.47858	0.0
199.49225	0.0
199.50592	0.0
199.51959	0.0
199.53326	0.0
199.54694	0.0
199.56061	0.0
199.57428	0.0
199.58795	0.0
199.60162	0.0
199.61531	0.0
199.62898	0.0
199.64265	0.0
199.65634	0.0
199.67001	0.0
199.68369	0.0
199.69737	0.0
199.71104	0.0
199.72472	0.0
199.7384	0.0
199.75208	0.0
199.76576	0.0
199.77943	0.0
199.79312	0.0
199.80681	0.0
199.82048	0.0
199.83417	0.0
199.84785	0.0
199.86153	0.0
199.87521	0.0
199.8889	0.0
199.90259	0.0
199.91626	0.0
199.92995	0.0
199.94363	0.0
199.95732	0.0
199.97101	0.0
199.9847	0.0
199.99838	0.0
200.01207	0.0
200.02576	0.0
200.03944	0.0
200.05313	0.0
200.06682	0.0
200.08052	0.0
200.09421	0.0
200.10789	0.0
200.12158	0.0
200.13528	0.0
200.14897	0.0
200.16266	0.0
200.17636	0.0
200.19005	0.0
200.20374	0.0
200.21744	0.0
200.23112	0.0
200.24483	0.0
200.25851	0.0
200.27222	0.0
200.2859	0.0
200.29961	0.0
200.31331	0.0
200.327	0.0
200.3407	309.524
200.3544	482.505
200.3681	847.508
200.38179	733.069
200.39549	706.161
200.40919	568.99
200.4229	149.284
200.4366	150.578
200.4503	130.804
200.464	134.628
200.47771	288.775
200.49141	397.365
200.50511	497.359
200.51881	753.434
200.53252	483.073
200.54622	574.095
200.55992	596.138
200.57362	807.529
200.58733	680.294
200.60104	705.943
200.61475	554.144
200.62845	717.294
200.64217	250.658
200.65587	608.057
200.66957	901.0
200.68329	667.622
200.69699	858.32
200.71071	787.949
200.72441	936.772
200.73813	940.13
200.75183	911.892
200.76555	1032.3
200.77925	1030.29
200.79297	1235.38
200.80669	1345.02
200.82039	1194.76
200.83411	1512.35
200.84782	1851.69
200.86154	1593.27
200.87524	1191.76
200.88896	1126.89
200.90268	1137.06
200.9164	703.147
200.93011	670.318
200.94383	551.838
200.95755	765.234
200.97127	1019.93
200.98499	1004.1
200.9987	411.973
201.01242	863.056
201.02614	651.058
201.03986	732.668
201.05357	763.822
201.06731	838.86
201.08102	734.289
201.09474	567.396
201.10846	813.592
201.12219	880.632
201.13591	685.924
201.14963	629.916
201.16336	555.8
201.17708	621.239
201.19081	708.443
201.20453	650.709
201.21826	230.342
201.23198	197.716
201.24571	603.852
201.25943	520.369
201.27316	571.277
201.2869	276.295
201.30061	185.047
201.31435	296.421
201.32808	557.471
201.34181	718.318
201.35553	670.195
201.36926	473.489
