# Wavelength (nm)	Intensity
199.27356	0.0
199.28722	0.0
199.30089	0.0
199.31454	0.0
199.32822	0.0
199.34189	0.0
199.35555	0.0
199.36922	0.0
199.38289	0.0
199.39656	0.0
199.41022	0.0
199.42389	0.0
199.43756	0.0
199.45123	0.0
199.4649	0.0
199.47858	0.0
199.49225	0.0
199.50592	0.0
199.51959	0.0
199.53326	0.0
199.54694	0.0
199.56061	0.0
199.57428	0.0
199.58795	0.0
199.60162	0.0
199.61531	0.0
199.62898	0.0
199.64265	0.0
199.65634	0.0
199.67001	0.0
199.68369	0.0
199.69737	0.0
199.71104	0.0
199.72472	0.0
199.7384	0.0
199.75208	0.0
199.76576	0.0
199.77943	0.0
199.79312	0.0
199.80681	0.0
199.82048	0.0
199.83417	0.0
199.84785	0.0
199.86153	0.0
199.87521	0.0
199.8889	0.0
199.90259	0.0
199.91626	0.0
199.92995	0.0
199.94363	0.0
199.95732	0.0
199.97101	0.0
199.9847	0.0
199.99838	0.0
200.01207	0.0
200.02576	0.0
200.03944	0.0
200.05313	0.0
200.06682	0.0
200.08052	0.0
200.09421	0.0
200.10789	0.0
200.12158	0.0
200.13528	0.0
200.14897	0.0
200.16266	0.0
200.17636	0.0
200.19005	0.0
200.20374	0.0
200.21744	0.0
200.23112	0.0
200.24483	0.0
200.25851	0.0
200.27222	0.0
200.2859	0.0
200.29961	0.0
200.31331	0.0
200.327	0.0
200.3407	-122.004
200.3544	-281.066
200.3681	-62.0675
200.38179	-11.3485
200.39549	64.7559
200.40919	130.121
200.4229	87.4361
200.4366	-75.4426
200.4503	231.037
200.464	188.297
200.47771	48.0666
200.49141	6.78489
200.50511	-181.937
200.51881	20.4555
200.53252	104.426
200.54622	196.392
200.55992	141.07
200.57362	9.29484
200.58733	-30.6891
200.60104	-67.9994
200.61475	112.234
200.62845	213.657
200.64217	182.291
200.65587	266.422
200.66957	258.505
200.68329	-91.5184
200.69699	296.967
200.71071	-105.563
200.72441	6.28084
200.73813	70.1188
200.75183	168.003
200.76555	210.622
200.77925	94.5611
200.79297	-138.89
200.80669	-39.1343
200.82039	129.505
200.83411	163.158
200.84782	110.494
200.86154	103.773
200.87524	-28.7968
200.88896	200.256
200.90268	52.5807
200.9164	174.09
200.93011	179.586
200.94383	261.239
200.95755	176.875
200.97127	111.441
200.98499	99.0633
200.9987	139.532
201.01242	142.46
201.02614	-208.536
201.03986	184.977
201.05357	93.0065
201.06731	-12.1429
201.08102	-60.9225
201.09474	-166.787
201.10846	85.122
201.12219	48.536
201.13591	70.1932
201.14963	-9.18276
201.16336	87.1485
201.17708	94.8558
201.19081	136.661
201.20453	209.026
201.21826	127.384
201.23198	165.297
201.24571	-4.18247
201.25943	223.622
201.27316	165.007
201.2869	21.5662
201.30061	-23.6602
